,Borough,School_Num,School_Year,Indicator_1.1,Indicator_1.2,Indicator_2.2,Indicator_3.4,Indicator_4.2
235,Q,430,2006-07,4.0,4.0,4.0,4.0,4.0
236,Q,620,2006-07,4.0,3.0,3.0,3.0,3.0
237,X,041,2006-07,3.0,3.0,3.0,4.0,4.0
238,X,048,2006-07,4.0,4.0,4.0,4.0,4.0
239,X,096,2006-07,4.0,3.0,1.0,3.0,4.0
240,X,174,2006-07,1.0,1.0,1.0,3.0,1.0
241,X,180,2006-07,4.0,4.0,3.0,4.0,3.0
242,X,289,2006-07,3.0,3.0,3.0,3.0,3.0
243,X,290,2006-07,4.0,3.0,3.0,3.0,3.0
244,X,312,2006-07,3.0,4.0,3.0,3.0,3.0
245,X,550,2006-07,4.0,4.0,3.0,3.0,1.0
246,X,275,2006-07,3.0,1.0,3.0,3.0,4.0
247,X,513,2006-07,3.0,3.0,4.0,4.0,4.0
248,X,684,2006-07,4.0,3.0,4.0,4.0,3.0
249,Q,018,2006-07,3.0,1.0,3.0,4.0,3.0
250,Q,130,2006-07,4.0,4.0,3.0,4.0,4.0
251,Q,168,2006-07,3.0,3.0,3.0,3.0,3.0
252,Q,242,2006-07,4.0,3.0,4.0,4.0,4.0
253,X,272,2006-07,4.0,4.0,4.0,3.0,4.0
254,X,287,2006-07,3.0,3.0,1.0,1.0,1.0
255,X,514,2006-07,4.0,3.0,4.0,4.0,4.0
256,X,542,2006-07,4.0,3.0,4.0,4.0,4.0
257,Q,250,2006-07,3.0,1.0,3.0,3.0,3.0
258,X,160,2006-07,4.0,3.0,3.0,3.0,4.0
259,K,012,2006-07,3.0,1.0,1.0,3.0,3.0
260,Q,021,2006-07,3.0,4.0,4.0,3.0,3.0
261,Q,206,2006-07,3.0,4.0,3.0,4.0,4.0
262,X,067,2006-07,4.0,4.0,4.0,4.0,4.0
263,X,131,2006-07,4.0,4.0,4.0,4.0,3.0
264,X,144,2006-07,4.0,4.0,3.0,3.0,4.0
265,X,192,2006-07,1.0,1.0,1.0,1.0,1.0
266,X,197,2006-07,4.0,4.0,4.0,4.0,4.0
267,X,217,2006-07,4.0,4.0,4.0,4.0,4.0
268,X,219,2006-07,3.0,3.0,3.0,3.0,3.0
269,X,232,2006-07,3.0,4.0,3.0,4.0,4.0
270,X,304,2006-07,4.0,3.0,4.0,4.0,4.0
271,X,415,2006-07,4.0,4.0,3.0,3.0,3.0
272,X,450,2006-07,1.0,1.0,3.0,1.0,1.0
273,X,540,2006-07,3.0,3.0,3.0,3.0,3.0
274,X,686,2006-07,3.0,3.0,3.0,1.0,1.0
275,Q,670,2006-07,4.0,4.0,4.0,4.0,4.0
276,X,425,2006-07,4.0,4.0,4.0,3.0,4.0
277,Q,067,2006-07,4.0,4.0,3.0,3.0,4.0
278,X,036,2006-07,4.0,4.0,3.0,3.0,3.0
279,X,113,2006-07,3.0,3.0,1.0,1.0,3.0
280,X,135,2006-07,4.0,3.0,3.0,4.0,3.0
281,X,181,2006-07,3.0,3.0,3.0,4.0,3.0
282,X,216,2006-07,3.0,3.0,3.0,3.0,3.0
283,X,302,2006-07,4.0,4.0,4.0,4.0,3.0
284,Q,209,2006-07,4.0,3.0,4.0,4.0,3.0
285,X,288,2006-07,4.0,4.0,3.0,4.0,3.0
286,X,295,2006-07,3.0,3.0,3.0,3.0,3.0
287,X,299,2006-07,4.0,4.0,4.0,3.0,3.0
288,Q,034,2006-07,4.0,4.0,4.0,4.0,4.0
289,Q,035,2006-07,3.0,3.0,3.0,4.0,3.0
290,Q,094,2006-07,4.0,3.0,4.0,4.0,4.0
291,Q,115,2006-07,4.0,4.0,3.0,4.0,3.0
292,Q,129,2006-07,4.0,4.0,4.0,4.0,4.0
293,Q,184,2006-07,4.0,4.0,4.0,4.0,4.0
294,Q,186,2006-07,3.0,3.0,3.0,4.0,4.0
295,Q,201,2006-07,4.0,4.0,4.0,4.0,4.0
296,Q,266,2006-07,4.0,3.0,4.0,4.0,4.0
297,X,050,2006-07,3.0,3.0,3.0,3.0,3.0
298,X,134,2006-07,4.0,1.0,3.0,4.0,4.0
299,X,212,2006-07,4.0,4.0,4.0,4.0,3.0
300,Q,032,2006-07,4.0,4.0,4.0,4.0,4.0
301,Q,079,2006-07,4.0,4.0,4.0,4.0,4.0
302,Q,098,2006-07,3.0,3.0,4.0,3.0,3.0
303,Q,107,2006-07,4.0,4.0,3.0,4.0,3.0
304,Q,165,2006-07,4.0,4.0,4.0,4.0,4.0
